time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
2.409117167633080e-009	6.361676e-004	1.000000e+000	1.675016e+003	6.591675e+000	3.591676e+000	1.804699e-006	4.244607e-006	0.000000e+000	1.538324e-006
2.410902881918795e-009	6.377770e-004	1.000000e+000	1.670288e+003	6.592582e+000	3.592582e+000	1.804489e-006	4.243469e-006	0.000000e+000	1.522230e-006
2.412688596204510e-009	6.393585e-004	1.000000e+000	1.665149e+003	6.593447e+000	3.593448e+000	1.804289e-006	4.242381e-006	0.000000e+000	1.506415e-006
2.414474310490225e-009	6.409121e-004	1.000000e+000	1.659598e+003	6.594273e+000	3.594273e+000	1.804099e-006	4.241343e-006	0.000000e+000	1.490879e-006
2.416260024775940e-009	6.424378e-004	1.000000e+000	1.653635e+003	6.595058e+000	3.595058e+000	1.803917e-006	4.240357e-006	0.000000e+000	1.475621e-006
2.417837295515929e-009	6.437622e-004	1.000000e+000	1.648002e+003	6.595721e+000	3.595721e+000	1.803764e-006	4.239524e-006	0.000000e+000	1.462378e-006
2.419414566255919e-009	6.450638e-004	1.000000e+000	1.641855e+003	6.596356e+000	3.596356e+000	1.803618e-006	4.238726e-006	0.000000e+000	1.449361e-006
2.420991836995908e-009	6.463428e-004	1.000000e+000	1.635192e+003	6.596963e+000	3.596963e+000	1.803477e-006	4.237962e-006	0.000000e+000	1.436572e-006
2.422569107735898e-009	6.475991e-004	1.000000e+000	1.628015e+003	6.597543e+000	3.597543e+000	1.803343e-006	4.237234e-006	0.000000e+000	1.424009e-006
2.424146378475887e-009	6.488327e-004	1.000000e+000	1.620322e+003	6.598094e+000	3.598094e+000	1.803216e-006	4.236540e-006	0.000000e+000	1.411674e-006
2.425723649215877e-009	6.500435e-004	1.000000e+000	1.612115e+003	6.598619e+000	3.598619e+000	1.803095e-006	4.235881e-006	0.000000e+000	1.399565e-006
2.427300919955866e-009	6.512317e-004	1.000000e+000	1.603393e+003	6.599115e+000	3.599115e+000	1.802980e-006	4.235257e-006	0.000000e+000	1.387683e-006
2.427353034354383e-009	6.512706e-004	1.000000e+000	1.603090e+003	6.599131e+000	3.599131e+000	1.802976e-006	4.235237e-006	0.000000e+000	1.387295e-006
2.428665994329752e-009	6.522415e-004	1.000000e+000	1.595431e+003	6.599524e+000	3.599524e+000	1.802886e-006	4.234743e-006	0.000000e+000	1.377585e-006
2.429978954305121e-009	6.531951e-004	1.000000e+000	1.587014e+003	6.599899e+000	3.599899e+000	1.802799e-006	4.234272e-006	0.000000e+000	1.368049e-006
